Vehicle Type,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019(*)
Car,915448.0,982654.0,1042298.0,1108253.0,1173712.0,1225757.0,1268403.0,1299450.0,1338795.0,1380791.0,1402600.0
Motorcycle,121547.0,135742.0,148535.0,157992.0,167489.0,176658.0,185138.0,190440.0,196292.0,203483.0,208504.0
Truck,20293.0,21661.0,20308.0,20954.0,21723.0,22405.0,23134.0,26587.0,26814.0,27283.0,27672.0
Pickup Truck,48747.0,60121.0,70430.0,79249.0,87651.0,94634.0,99417.0,104166.0,108904.0,113883.0,116911.0
Trailer,15361.0,15685.0,16118.0,16629.0,17442.0,18746.0,20461.0,21459.0,22503.0,23618.0,24269.0
Bus,8535.0,8618.0,8648.0,8819.0,10682.0,11713.0,12111.0,12259.0,12504.0,12764.0,12902.0
Micro bus,4594.0,4608.0,4676.0,4720.0,4890.0,5154.0,5297.0,5435.0,5633.0,5833.0,5901.0
Semi-trailer,2349.0,2588.0,2749.0,2936.0,3269.0,3526.0,3767.0,3880.0,3904.0,4113.0,4283.0
Others,1253.0,1323.0,3959.0,4236.0,4681.0,4789.0,4668.0,1489.0,1509.0,1507.0,1510.0
Total Fleet,1138127.0,1233000.0,1317721.0,1403788.0,1491539.0,1563382.0,1622396.0,1665165.0,1716878.0,1773275.0,1804552.0
